id,name,price,category_id,image_url,image_local
60,Adiyal (1/2 Kg),100,14,https://rnikashcrackers.com/storage/5G9M1zLMQJvZrRZTIDN9vdeyVJqCUf-metadGc4VlBmdHhCVm5pOTV0NGtvZ1BTS2RweWNNMThzLW1ldGFObDlWTFRFMU1DNXFjR2M9LS5qcGc=-.jpg,60_Adiyal__1_2_Kg.jpg
61,Adiyal Heavy (1 Kg),200,14,https://rnikashcrackers.com/storage/SATx64LHd8HmDXItK2OGJfuwjhBQYV-metadGc4VlBmdHhCVm5pOTV0NGtvZ1BTS2RweWNNMThzLW1ldGFObDlWTFRFMU1DNXFjR2M9LS5qcGc=-.jpg,61_Adiyal_Heavy__1_Kg.jpg
63,DANCING PEACOCK(3 IN 1),200,15,https://rnikashcrackers.com/storage/Nub4b1H7uRoGmDL5Gvch36rwn6988U-metaZ2xpdHRlcmluZy1wZWFjb2NrLTUwMHg1MDAud2VicA==-.webp,63_DANCING_PEACOCK_3_IN_1.webp
64,Photo Flash,80,15,https://rnikashcrackers.com/storage/EvmJytoSBcDDy8lL769ZSTYhPRIx5y-metaZG93bmxvYWQgKDUpLmpwZw==-.jpg,64_Photo_Flash.jpg
101,"2"" Pipe Combopack (3 Pcs)",250,16,https://rnikashcrackers.com/storage/up6MvcYZUCMmWbWnLbi0kGv7pRquMd-metaZG93bmxvYWQgKDEzKS5qcGc=-.jpg,101_2__Pipe_Combopack__3_Pcs.jpg
111,"2"" SINGLE FANCY",80,16,https://rnikashcrackers.com/storage/FRGLZPnvOtIo1YzWFYQDIm0zCJQNjS-metaZG93bmxvYWQgKDEwKS5qcGc=-.jpg,111_2__SINGLE_FANCY.jpg
124,12 Shot Raider,160,17,https://rnikashcrackers.com/storage/ErGxLAQ7movm7AJqRwdXN9EK7qfrac-metaMTItc2hvdHMtcmlkZXItMXBjZS1ib3gtLTUwMHg1MDAud2VicA==-.webp,124_12_Shot_Raider.webp
125,7 Cm Electric Sparkle,10,18,https://rnikashcrackers.com/storage/nKrsyaH5OaAdWu4A8oxIa39OIGTz9D-metaYmlqXzAxMS5qcGc=-.jpg,125_7_Cm_Electric_Sparkle.jpg
126,7 Cm Color Sparkle,12,18,https://rnikashcrackers.com/storage/9Y7bETf1tZzyhDQpvecBvvUoOZ8IqR-metaYmlqXzAxMS5qcGc=-.jpg,126_7_Cm_Color_Sparkle.jpg
127,7 Cm Green Sparkle,14,18,https://rnikashcrackers.com/storage/DPrY5fX3gMTm3p2rtTRFZMwG9SzvyA-metaYmlqXzAxMS5qcGc=-.jpg,127_7_Cm_Green_Sparkle.jpg
